OBJECTID,FID_indice,CVEGEO,CVE_ENT,NOM_MUN,Dist_Prom_,Dist_Pro_1,FID_pueblo,fid_1,cvegeo_loc,cve_mun,cve_ent_1,LOCALIDAD,cve_pueblo,pueblo_ah,pob_pih_ah,x,y,color,colors
"1","6","13007","13",Almoloya,0.00761337882,"846","3632",73842.00000000000,"130070001","070","14",Almoloya,"211",Náhuatl,8.00000000000,-98.4032930001,19.7033190005,"2",red
"2","60","13061","13",Tepeapulco,0.00914803046,"1016","4531",77093.00000000000,"130610002","061","14",Fray Bernardino de Sahagún (Ciudad Sahagún),"501",Otomí,108.00000000000,-98.5819030007,19.7727060005,"1",blue
"3","60","13061","13",Tepeapulco,0.00914803046,"1016","4530",77092.00000000000,"130610001","061","14",Tepeapulco,"501",Otomí,40.00000000000,-98.5536620006,19.7856740005,"1",blue
"4","62","13063","13",Tepeji del Río de Ocampo,0.01161025039,"1290","4572",77211.00000000000,"130630005","061","30",La Loma,"501",Otomí,3.00000000000,-99.3530360007,19.7919290002,"1",blue
"5","6","13007","13",Almoloya,0.00761337882,"846","3633",73874.00000000000,"130070051","070","14",El Tepozán (San Gabriel),"501",Otomí,2.00000000000,-98.2649140003,19.8103869998,"1",blue
"6","62","13063","13",Tepeji del Río de Ocampo,0.01161025039,"1290","4575",77215.00000000000,"130630009","061","30",San Buenaventura,"211",Náhuatl,2.00000000000,-99.3255970007,19.8219620002,"2",red
"7","62","13063","13",Tepeji del Río de Ocampo,0.01161025039,"1290","4570",77209.00000000000,"130630003","061","30",Cantera de Villagrán,"501",Otomí,1.00000000000,-99.3094240004,19.8414569999,"1",blue
"8","62","13063","13",Tepeji del Río de Ocampo,0.01161025039,"1290","4580",77222.00000000000,"130630016","061","30",Santa María Quelites,"501",Otomí,18.00000000000,-99.3473750005,19.8543580004,"1",blue
"9","62","13063","13",Tepeji del Río de Ocampo,0.01161025039,"1290","4577",77219.00000000000,"130630013","061","30",San Mateo Buenavista,"501",Otomí,4.00000000000,-99.3388480002,19.8551530002,"1",blue
"10","62","13063","13",Tepeji del Río de Ocampo,0.01161025039,"1290","4581",77223.00000000000,"130630017","061","30",Santiago Tlapanaloya,"501",Otomí,11.00000000000,-99.3510830006,19.8707990005,"1",blue
"11","64","13083","13",Zempoala,0.00614236698,"682","4784",78031.00000000000,"130830002","059","13",Acelotla de Ocampo,"501",Otomí,11.00000000000,-98.6555460000,19.8812690004,"1",blue
