CVEGEO,NOM_MUN,DEN_POB,POB_OCU,POB_OCU%,G_P_ESCOL,SEC_SECUN,IDH,GINI,PEA,DEL_PAT,DEL_MUJ,DEL_SALUD,DEL_MEN,DEL_SEX,FAEA,HOMICID,P_NO_LOC,POS_ARM,REST_HUM,PRIV_LIB,HUACH,VIO_FAM,VIO_Y_PAN,id,id2
"13001",Acatlán,92.17,"11368",99.2,7.35,26.03,0.661,0.29,"11462",202.0837076,62.8704868,4.490749057,148.1947189,8.981498114,8.981498114,8.981498114,58.37973774,170.6484642,0,8.981498114,17.96299623,80.83348302,134.7224717,"13001",
"13002",Acaxochitlán,192.85,"21751",98.8,6.66,18.45,0.622,0.35,"22006",199.7177901,56.44198415,8.683382177,78.1504396,0,6.512536633,10.85422772,8.683382177,62.95452079,0,0,4.341691089,71.63790296,121.5673505,"13002",
"13003",Actopan,224.43,"32385",98.6,9.93,23.41,0.776,0.33,"32853",678.6662732,373.7582374,31.14651979,537.6872889,22.95006721,34.42510082,3.27858103,26.22864824,116.3896266,0,11.47503361,3.27858103,267.204354,701.6163404,"13003",
"13004",Agua Blanca de Iturbide,85.93,"4501",97.1,7.63,23.63,0.653,0.32,"4636",77.57199651,87.26849607,0,135.7509939,19.39299913,0,9.696499564,0,67.87549695,0,0,0,87.26849607,96.96499564,"13004",
"13005",Ajacuba,78.97,"8824",98,8.66,42.33,0.727,0.31,"9003",370.9198813,211.9542179,37.09198813,169.5633743,5.298855447,15.89656634,0,37.09198813,105.9771089,0,5.298855447,2331.496397,222.5519288,312.6324714,"13005",
"13006",Alfajayucan,44.2,"9727",98.7,8.15,22.39,0.679,0.31,"9859",198.3091535,57.40528129,20.87464774,52.18661935,0,10.43732387,10.43732387,10.43732387,26.09330968,0,0,20.87464774,62.62394322,78.27992903,"13006",
"13007",Almoloya,46.07,"5378",96.1,8.51,32.96,0.702,0.31,"5597",143.472023,111.5893512,39.85333971,143.472023,7.970667942,0,7.970667942,7.970667942,31.88267177,0,15.94133588,7.970667942,87.67734736,151.4426909,"13007",
"13008",Apan,144.87,"21796",97,9.42,30,0.761,0.34,"22470",409.1600437,282.770292,55.69717872,407.0178445,27.84858936,12.85319509,0,21.42199182,89.97236563,0,12.85319509,14.99539427,162.8071378,460.5728241,"13008",
"13009",El Arenal,144.16,"9980",98.2,9,30.2,0.729,0.32,"10161",357.9350676,196.6122202,10.08267796,166.3641863,25.2066949,40.33071184,10.08267796,30.24803388,120.9921355,0,15.12401694,5.04133898,131.0748135,368.0177455,"13009",
"13010",Atitalaquia,504.8,"14169",96.7,9.94,40.27,0.792,0.31,"14660",856.4631245,333.0689929,104.6788263,409.1990484,25.37668517,25.37668517,9.516256939,44.40919905,206.185567,0,12.68834259,485.3291039,301.3481364,536.0824742,"13010",
